Account_length;Total_day_minutes;Total_day_charge;Total_eve_minutes;Total_eve_charge;Total_intl_minutes;Total_intl_calls;Total_intl_charge;Customer_service_calls;Churn_1;International_planNo;International_planYes;Voice_mail_planNo;Voice_mail_planYes;PrinComp_1;PrinComp_2;PrinComp_3;PrinComp_4;PrinComp_5;PrinComp_6;PrinComp_7;PrinComp_8;PrinComp_9;PrinComp_10;PrinComp_11;PrinComp_12;PrinComp_13;PrinComp_14
74.0;193.7;32.93;246.1;20.92;14.6;3.0;3.94;2.0;0.0;1.0;0.0;0.0;1.0;-0.9276702;-2.4364469;-1.1271676;-1.69121006;-0.8007498;-0.47135;-0.8316205;-0.16438524;0.53187;0.0023827;-0.000253;5.0035e-05;5.0376e-14;2.2184e-14
85.0;235.8;40.09;157.2;13.36;12.0;3.0;3.24;0.0;0.0;1.0;0.0;1.0;0.0;0.28123;0.41906;1.81993;-1.1544917;-0.6946094;1.01412;-1.0434229;-0.00026246;-0.221997;0.00027558;0.00031933;0.00023081;1.276e-13;-1.3639e-13
46.0;214.1;36.4;164.4;13.97;8.2;3.0;2.21;2.0;0.0;1.0;0.0;1.0;0.0;0.37722;1.51994;0.98774;0.36184;-0.817784;-0.45196;-1.267509;-0.58527974;0.43244;0.0040193;0.00064443;0.00016994;2.0981e-13;-1.9878e-13
128.0;179.3;30.48;225.9;19.2;8.6;7.0;2.32;0.0;0.0;1.0;0.0;0.0;1.0;-0.8922126;-0.7392945;-1.6205435;0.64145;-1.3832016;1.30667;0.91008;-0.4165169;-0.49471047;0.0024986;0.00023444;-9.3453e-05;3.4833e-14;-2.822e-14
155.0;203.4;34.58;190.9;16.23;8.9;4.0;2.4;0.0;1.0;1.0;0.0;1.0;0.0;1.34924;0.97276;0.21949;-0.15810044;-0.0925849;0.26892;0.65388;1.17868;-2.49348689;0.0033708;-0.00056402;0.0001279;7.6421e-14;5.3907e-14
73.0;160.1;27.22;213.3;18.13;13.0;4.0;3.51;0.0;0.0;1.0;0.0;1.0;0.0;-0.6565489;0.02439;0.36737;-1.34966256;1.1186;0.78356;-0.9038301;-0.48127546;-0.28962015;0.00040787;9.7444e-05;0.00016946;8.6357e-14;-7.4268e-14
77.0;251.8;42.81;205.7;17.48;9.8;7.0;2.65;2.0;1.0;1.0;0.0;1.0;0.0;2.35907;0.66193;0.24879;-0.87721401;-0.6202146;-1.0746;0.56314;-0.95220403;-1.48476473;-0.0031477;0.00074368;0.00023465;9.1464e-14;-2.0394e-13
108.0;178.3;30.31;189.0;16.07;14.6;5.0;3.94;0.0;0.0;1.0;0.0;1.0;0.0;-0.6103363;-0.4095279;1.26436;-1.86891054;0.85253;1.04861;-0.0724779;-0.10515921;-0.2792085;0.0023756;-0.00086145;-9.8747e-05;-6.2301e-14;1.8791e-13
95.0;135.0;22.95;183.6;15.61;12.5;9.0;3.38;1.0;0.0;1.0;0.0;1.0;0.0;-1.0995612;0.19368;0.96046;-0.72829684;1.26976;0.39731;1.15148;-1.33194983;-0.15240772;-0.0039163;-0.0006703;-3.2344e-05;-1.5328e-13;1.6016e-13
36.0;281.4;47.84;202.2;17.19;9.0;6.0;2.43;2.0;0.0;1.0;0.0;0.0;1.0;0.70092;-0.7803411;-0.5861072;-0.03388948;-3.2236293;-0.19064;-0.589896;-1.71487675;0.57571;0.00036961;-0.00056648;0.00014949;2.1955e-14;6.193e-14
141.0;148.6;25.26;131.1;11.14;10.1;1.0;2.73;1.0;0.0;1.0;0.0;0.0;1.0;-2.2949975;-0.8317194;0.73279;1.01969;-1.6465271;0.05875;-0.2851776;1.64996;-0.58117194;-0.002208;0.00066279;-0.00023189;-8.6403e-14;-4.554e-14
63.0;58.9;10.01;169.6;14.42;9.4;3.0;2.54;1.0;0.0;1.0;0.0;1.0;0.0;-2.4055335;1.25193;0.49114;1.00696;1.84057;-0.42969;-0.9355261;-0.21599411;-0.56832456;-0.0013163;-0.00058856;-0.00026687;-1.8753e-13;2.0573e-13
97.0;239.8;40.77;214.8;18.26;8.7;5.0;2.35;2.0;0.0;1.0;0.0;1.0;0.0;1.248;1.15735;-0.0644532;-0.35457279;-0.669511;0.23152;-0.0219679;-0.29325508;0.79852;-0.0005595;-0.00035798;0.00025995;6.4708e-14;-9.0425e-15
75.0;166.3;28.27;158.2;13.45;6.1;5.0;1.65;1.0;0.0;1.0;0.0;1.0;0.0;-0.3427339;2.12269;0.64406;1.47536;-0.3215792;0.26307;-0.3099308;-0.64101991;-0.21946481;-0.0023775;-0.00048392;-0.00011309;-1.3807e-13;1.42e-13
127.0;146.7;24.94;203.5;17.3;13.7;3.0;3.7;1.0;0.0;1.0;0.0;1.0;0.0;-0.9169955;-0.1715594;0.63043;-1.39644967;1.31702;0.38926;-0.1651578;0.8434;0.06418;-0.00039487;-0.00038161;1.772e-05;-3.3325e-14;7.0949e-14
121.0;181.5;30.86;218.4;18.56;8.5;5.0;2.3;1.0;0.0;1.0;0.0;1.0;0.0;0.23485;1.22487;-0.4003875;0.08795;0.27802;0.75289;0.26865;0.11447;0.18328;-0.0041969;0.0007065;0.00028913;8.8467e-14;-2.0855e-13
117.0;102.8;17.48;206.7;17.57;10.1;7.0;2.73;1.0;0.0;1.0;0.0;1.0;0.0;-1.3023297;0.83753;-0.1232394;0.19088;1.64636;0.41472;0.93093;-0.41185072;-0.19271094;-0.0020875;-3.9002e-05;0.00025022;5.4661e-14;-6.0834e-14
65.0;187.9;31.94;157.6;13.4;7.5;6.0;2.03;1.0;0.0;1.0;0.0;1.0;0.0;-0.0769629;1.70812;0.97204;0.82592;-0.4757992;0.31115;-0.2110184;-1.09887288;-0.12325855;-0.004237;-0.00067183;-0.00026169;-2.5448e-13;2.3437e-13
6.0;183.6;31.21;256.7;21.82;10.2;2.0;2.75;1.0;0.0;1.0;0.0;1.0;0.0;0.28639;0.75317;-1.0300351;-0.81946192;0.69851;-0.088726;-2.4434594;-1.15768629;0.3264;0.0038859;-9.7277e-05;-0.00018244;-3.5097e-16;5.7793e-14
32.0;230.9;39.25;187.4;15.93;6.3;2.0;1.7;0.0;0.0;1.0;0.0;1.0;0.0;0.81664;2.00891;0.18739;0.6776;-1.1077349;0.78912;-2.1653078;-0.74171304;-0.22398892;0.00098715;-0.00018471;-0.00026553;-1.036e-13;1.1519e-13
64.0;182.1;30.96;169.7;14.42;10.6;5.0;2.86;2.0;0.0;1.0;0.0;0.0;1.0;-1.3783433;-1.0883842;0.07556;0.36194;-1.7525583;-0.61466;-0.2471499;-0.81516596;0.06054;0.0024676;0.00074573;0.00018427;1.9137e-13;-2.1563e-13
25.0;119.3;20.28;211.5;17.98;10.5;4.0;2.84;3.0;0.0;1.0;0.0;1.0;0.0;-0.9960487;0.7926;-0.1034905;-0.06486825;1.36324;-1.4834;-1.0588663;-1.1295935;0.65651;-0.0041618;-0.00036957;-0.00012712;-1.7221e-13;1.3251e-13
65.0;116.8;19.86;178.9;15.21;14.1;2.0;3.81;1.0;0.0;1.0;0.0;1.0;0.0;-1.7227488;-0.1409277;1.20246;-1.15446627;1.58621;-0.2838;-1.324377;0.06354;-0.20399812;-0.0023302;-0.00051636;0.00024089;5.5887e-15;3.6477e-14
127.0;202.1;34.36;229.4;19.5;11.5;3.0;3.11;2.0;0.0;1.0;0.0;1.0;0.0;0.48209;0.34031;-0.1444232;-1.1799581;0.37815;0.14621;-0.118637;0.81741;0.78063;-0.0042282;-0.00013228;0.0001492;-4.0152e-14;-5.4931e-16
93.0;271.6;46.17;229.4;19.5;10.9;3.0;2.94;2.0;0.0;1.0;0.0;1.0;0.0;1.69677;0.49521;0.02237;-1.47661035;-0.8020347;0.23821;-0.7508683;0.14985;1.04064;0.003053;-0.00022647;-0.00019107;-3.2214e-14;8.9545e-14
208.0;326.5;55.51;176.3;14.99;10.7;6.0;2.89;2.0;1.0;1.0;0.0;1.0;0.0;3.43772;0.35399;1.29119;-1.52417102;-1.9073092;-0.018521;2.20319;1.63494;-1.18856415;-0.00028541;-0.00079233;0.00034254;6.7761e-14;4.8245e-14
122.0;243.8;41.45;83.9;7.13;13.7;8.0;3.7;2.0;0.0;1.0;0.0;1.0;0.0;-0.0166803;0.05225;3.92486;-1.20957418;-1.1773455;0.10459;1.41502;-0.48363147;0.30203;-0.00023968;0.00018325;0.00024283;1.1045e-13;-1.1141e-13
99.0;241.1;40.99;155.6;13.23;11.6;10.0;3.13;1.0;0.0;1.0;0.0;1.0;0.0;0.60068;0.44983;1.87983;-0.98160781;-0.7354873;0.88501;1.38023;-1.59292939;0.15284;0.0024816;-0.00076782;0.00022324;8.0251e-14;6.7618e-14
65.0;136.1;23.14;272.9;23.2;4.4;2.0;1.19;1.0;0.0;1.0;0.0;1.0;0.0;0.09947;2.3412;-2.533172;1.47144;0.87696;0.26153;-1.4623091;-0.12180218;0.15377;-0.0016332;-0.00051019;0.00018624;-1.8498e-15;4.9577e-14
65.0;213.4;36.28;234.5;19.93;2.7;4.0;0.73;1.0;0.0;1.0;0.0;1.0;0.0;1.29968;2.86274;-1.5758485;1.78697;-0.8496623;0.63372;-0.9366655;-0.69527357;0.26969;-0.00074729;0.00042534;9.6603e-05;5.9268e-14;-1.0946e-13
45.0;196.6;33.42;313.2;26.62;11.9;3.0;3.21;0.0;0.0;1.0;0.0;0.0;1.0;-0.3171961;-1.8320938;-3.1520902;-1.29912349;-0.580904;0.7964;-1.7100875;-0.90390597;-0.01454751;0.0030919;0.00032597;-0.00017776;2.0511e-14;-2.2558e-14
139.0;134.4;22.85;211.3;17.96;10.2;2.0;2.75;5.0;1.0;1.0;0.0;1.0;0.0;0.53773;0.61042;-0.3262002;-0.10710817;1.2056;-3.2362;0.73707;1.79257;-0.6765156;0.0045585;0.00015002;0.00010127;1.5103e-13;-8.315e-14
215.0;83.6;14.21;120.9;10.28;10.7;9.0;2.89;0.0;0.0;1.0;0.0;1.0;0.0;-2.3007643;0.83141;1.95059;0.71791;1.36522;1.44296;3.01433;0.84818;-0.991981;7.2825e-05;-0.00056337;-0.00018287;-1.2103e-13;1.6743e-13
94.0;181.8;30.91;202.4;17.2;9.2;2.0;2.48;4.0;0.0;1.0;0.0;1.0;0.0;0.20736;1.11854;0.07787;0.03874;0.10921;-1.4491;-0.4980256;0.65832;1.32032;0.0041947;0.00067915;0.00023373;2.4268e-13;-2.2654e-13
119.0;154.0;26.18;278.0;23.63;11.8;4.0;3.19;2.0;0.0;1.0;0.0;0.0;1.0;-1.0889394;-1.7509862;-2.4912447;-0.63010318;-0.2194643;-0.14933;0.17772;0.34537;0.49121;-0.0030925;5.2478e-05;-5.001e-05;-8.2073e-14;2.0629e-14
86.0;119.0;20.23;230.0;19.55;9.5;3.0;2.57;0.0;0.0;1.0;0.0;0.0;1.0;-2.0745843;-0.8987527;-1.8119476;0.71357;-0.3681734;0.54965;-0.8160132;-0.02954508;-0.72197833;-0.0041529;8.7054e-05;-5.2329e-05;-1.0283e-13;1.9963e-14
106.0;165.9;28.2;216.5;18.4;14.1;8.0;3.81;4.0;0.0;1.0;0.0;0.0;1.0;-1.3348871;-2.2756211;-0.5495568;-1.01778169;-0.6204142;-1.4068;1.54921;-0.77149808;1.06424;-0.0018659;0.00040171;-0.0002693;-1.1616e-13;1.5078e-14
92.0;62.6;10.64;180.6;15.35;10.4;2.0;2.81;1.0;1.0;0.0;1.0;1.0;0.0;0.91103;-2.1327744;1.28683;3.36551;3.97503;-0.86284;-1.0503799;0.75133;-2.05624537;-0.0010156;0.00028939;-0.0001894;-7.5347e-14;7.8884e-15
78.0;168.3;28.61;221.2;18.8;12.5;1.0;3.38;1.0;0.0;1.0;0.0;1.0;0.0;-0.3913038;0.16087;0.09449;-1.27077543;0.9302;0.12902;-1.5595954;0.46647;0.19449;-0.0043529;0.00039158;-0.00017014;-1.2991e-13;-1.7706e-15
155.0;262.4;44.61;194.6;16.54;8.3;6.0;2.24;2.0;0.0;1.0;0.0;1.0;0.0;1.57764;1.26091;0.42354;-0.22402952;-1.2133255;0.72265;1.1572;0.47217;0.83203;0.0014135;0.00011522;0.00010097;8.1472e-14;-6.1112e-14
64.0;94.4;16.05;136.2;11.58;4.5;4.0;1.22;0.0;0.0;1.0;0.0;0.0;1.0;-2.8323843;0.81046;-0.3982059;3.33545;-1.4127707;0.19138;-0.6559836;-0.59907704;-1.34327201;-0.0041171;-0.00040373;0.00012272;-7.1637e-14;6.082e-14
83.0;221.4;37.64;231.8;19.7;9.8;5.0;2.65;3.0;0.0;1.0;0.0;1.0;0.0;1.03804;0.8148;-0.3590278;-0.70183373;-0.1164565;-0.52407;-0.0702326;-0.47722362;1.20284;-0.0032933;0.00049567;7.498e-05;2.3136e-15;-1.0452e-13
144.0;189.8;32.27;123.4;10.49;6.5;2.0;1.76;2.0;1.0;1.0;0.0;0.0;1.0;-0.225838;-0.0222894;0.35141;1.96811;-2.6608458;-1.5174;0.49789;1.67993;-2.38320758;-0.0039533;-6.3143e-05;0.00024812;1.1963e-14;-4.6206e-14
143.0;172.3;29.29;174.0;14.79;13.0;4.0;3.51;2.0;0.0;1.0;0.0;1.0;0.0;-0.5459752;0.06982;1.32768;-1.08897567;0.57668;-0.01087;0.54754;0.92849;0.43367;0.00061911;4.5614e-06;-0.00013815;-4.3039e-14;3.953e-14
81.0;198.4;33.73;210.9;17.93;10.4;6.0;2.81;2.0;0.0;1.0;0.0;1.0;0.0;0.37649;0.71289;0.16912;-0.62352944;0.17261;-0.053762;0.09087;-0.80094029;0.61419;-0.0013777;-0.00060089;0.00011745;-3.177e-14;8.7158e-14
145.0;147.5;25.08;175.7;14.93;15.6;3.0;4.21;2.0;0.0;1.0;0.0;0.0;1.0;-2.286966;-2.5450083;0.53553;-1.19661919;-0.5350384;-0.41443;0.4387;1.22696;0.08623;0.0026451;0.00079076;0.00030894;2.5022e-13;-2.6459e-13
89.0;303.9;51.66;260.9;22.18;5.3;3.0;1.43;1.0;1.0;1.0;0.0;1.0;0.0;3.90275;1.7896;-1.6617562;-0.1004309;-1.5736543;-0.11693;-0.7410932;0.15028;-1.45045377;0.0011271;-0.00061103;-0.00024427;-1.2814e-13;1.9113e-13
199.0;230.6;39.2;219.4;18.65;8.0;2.0;2.16;0.0;0.0;1.0;0.0;0.0;1.0;-0.0425171;-0.5864664;-1.4623375;0.51153;-2.3806945;1.74964;0.46846;2.16935;-0.2346943;0.00044273;-0.00014415;-0.00019437;-8.2406e-14;8.7576e-14
96.0;172.7;29.36;120.1;10.21;10.3;5.0;2.78;5.0;1.0;1.0;0.0;0.0;1.0;-0.6096903;-1.0825534;1.02352;0.87498;-1.9610816;-3.6631;1.15805;0.24007;-1.26841302;0.00192;-0.00022178;6.0567e-05;4.7268e-14;1.4967e-14
94.0;181.5;30.86;199.9;16.99;6.6;5.0;1.78;1.0;0.0;1.0;0.0;1.0;0.0;0.21925;1.84138;-0.2417859;0.89464;-0.1317005;0.56144;-0.1095145;-0.35865772;0.05255;0.0022751;0.00025171;0.00033215;2.0593e-13;-1.6447e-13
127.0;266.6;45.32;264.8;22.51;5.9;2.0;1.59;1.0;1.0;1.0;0.0;1.0;0.0;3.25886;1.61527;-1.8235427;-0.06473731;-0.8832724;-0.07966;-0.3978157;1.1298;-1.54834036;0.0030873;-0.00033278;-0.00017889;-3.6156e-14;1.067e-13
121.0;170.4;28.97;350.5;29.79;11.2;3.0;3.02;0.0;1.0;1.0;0.0;1.0;0.0;1.79191;-0.0740261;-3.3893546;-1.87372013;2.06712;0.23536;-0.3637957;0.70378;-1.90040313;0.0041994;0.00046099;0.00010419;1.704e-13;-1.4294e-13
122.0;296.4;50.39;214.8;18.26;11.4;3.0;3.08;4.0;1.0;1.0;0.0;1.0;0.0;3.18538;0.15519;0.37469;-1.78223874;-1.1276648;-1.9959;0.3276;1.02602;-0.37625806;-0.0013484;-0.0003426;9.7074e-05;-1.7892e-14;4.2805e-14
121.0;68.7;11.68;209.2;17.78;11.4;4.0;3.08;1.0;0.0;1.0;0.0;0.0;1.0;-3.1290871;-1.3851325;-1.1949436;0.59914;0.49162;-0.088481;0.28747;0.46357;-0.58145144;-0.0010765;0.00042619;2.0864e-05;2.14e-14;-8.4287e-14
77.0;233.8;39.75;266.5;22.65;7.6;3.0;2.05;2.0;0.0;1.0;0.0;1.0;0.0;1.5801;1.36546;-1.5214599;-0.29605481;-0.3078383;0.13499;-0.9794929;-0.16821012;0.98672;0.00209;0.00040481;0.00024562;1.7939e-13;-1.6636e-13
64.0;236.2;40.15;218.6;18.58;13.2;2.0;3.56;2.0;1.0;0.0;1.0;1.0;0.0;4.02163;-3.1284927;1.43892;0.8587;1.90153;-0.84227;-1.6643354;0.14735;-0.73175423;0.0042937;0.00014785;-0.00031638;-2.5609e-14;4.9411e-14
124.0;244.6;41.58;188.8;16.05;11.3;4.0;3.05;1.0;0.0;0.0;1.0;1.0;0.0;3.05226;-2.380516;2.03761;1.77491;1.19445;1.53759;-0.6035275;0.39372;1.05541;0.0014466;-0.00037764;-0.00016591;-6.8463e-14;1.1869e-13
148.0;124.4;21.15;179.7;15.27;11.3;6.0;3.05;0.0;0.0;1.0;0.0;1.0;0.0;-1.2994287;0.55019;0.76972;-0.22966761;1.23391;1.172;0.94916;0.37062;-0.57598196;0.0016105;0.00077265;8.0792e-05;1.3243e-13;-1.8407e-13
77.0;230.0;39.1;103.2;8.77;11.3;3.0;3.05;2.0;0.0;1.0;0.0;1.0;0.0;-0.0417187;0.77561;2.99921;-0.41616076;-1.1959375;-0.40715;-0.7348822;0.04455;0.29354;0.0013257;0.00030484;-6.6257e-05;2.7016e-14;-4.5236e-14
135.0;201.8;34.31;225.0;19.13;10.3;6.0;2.78;1.0;0.0;1.0;0.0;1.0;0.0;0.52429;0.66321;-0.2032799;-0.7375534;0.26351;0.96764;0.72537;0.0802;0.32931;0.0014447;-0.00085531;0.00028068;7.4034e-14;7.1893e-14
87.0;214.0;36.38;180.0;15.3;10.6;5.0;2.86;0.0;0.0;1.0;0.0;0.0;1.0;-0.8777779;-1.1502709;-0.0724641;-0.00673006;-2.1219485;0.91678;-0.2970453;-0.56850262;-0.54071149;0.0023455;-2.6156e-05;-2.0158e-05;3.9829e-14;2.0137e-16
54.0;210.5;35.79;204.5;17.38;8.5;5.0;2.3;1.0;0.0;1.0;0.0;1.0;0.0;0.56986;1.29513;0.07149;-0.03332224;-0.3205279;0.3946;-0.7855806;-1.08905661;0.19589;-0.0043491;0.00042899;0.00030357;6.7872e-14;-1.5815e-13
35.0;105.6;17.95;258.2;21.95;8.7;3.0;2.35;0.0;0.0;1.0;0.0;1.0;0.0;-0.9576658;1.19463;-1.5831763;0.24655;1.79322;0.45115;-1.7434772;-0.92212811;-0.40334605;-0.00062556;-0.00044803;-0.00018522;-1.2753e-13;1.4933e-13
84.0;138.6;23.56;199.0;16.92;7.8;4.0;2.11;0.0;0.0;1.0;0.0;1.0;0.0;-0.7201026;1.54768;-0.1884405;0.75119;0.68391;0.83127;-0.6569167;-0.28466792;-0.51446396;-0.0033389;-0.00078971;-0.00018833;-2.1535e-13;2.3016e-13
94.0;234.4;39.85;279.3;23.74;2.0;2.0;0.54;1.0;1.0;1.0;0.0;1.0;0.0;3.0959;2.72794;-2.8866667;1.44517;-0.7532618;-0.32148;-0.8590691;0.52565;-1.70099083;0.00022608;0.00013168;0.00010727;5.9157e-14;-6.0057e-14
96.0;145.8;24.79;192.2;16.34;9.9;2.0;2.67;1.0;0.0;1.0;0.0;0.0;1.0;-1.8723849;-0.9190451;-0.7569621;0.67816;-1.0985585;-0.031735;-0.7734247;0.50685;-0.35994127;0.0033143;-0.00045436;0.00028358;1.4896e-13;-1.623e-14
64.0;97.2;16.52;186.2;15.83;10.4;6.0;2.81;2.0;0.0;1.0;0.0;1.0;0.0;-1.5696146;0.8614;0.41492;0.29498;1.54266;-0.68187;0.03227;-0.99336287;0.06403;-0.0012073;-0.00047679;-0.00033393;-2.0313e-13;2.0429e-13
85.0;259.8;44.17;242.3;20.6;5.4;1.0;1.46;0.0;0.0;1.0;0.0;1.0;0.0;1.83645;2.06022;-1.2157392;0.39256;-1.1979586;1.39001;-1.7722252;0.38361;0.17488;-0.0018742;-0.00073461;0.00025748;3.6458e-15;7.2004e-14
117.0;239.9;40.78;174.8;14.86;9.8;2.0;2.65;0.0;0.0;1.0;0.0;1.0;0.0;0.66923;0.97681;1.03616;-0.53335813;-0.8878859;1.28964;-0.8693915;0.8047;-0.12965433;-0.0034997;-0.00032738;-0.00029409;-2.2301e-13;1.7364e-13
112.0;221.6;37.67;130.2;11.07;11.3;3.0;3.05;1.0;0.0;1.0;0.0;0.0;1.0;-1.1290157;-1.2151523;1.23658;0.07051;-2.6264409;0.26082;-0.2678586;0.53845;-0.29202296;0.0014436;-0.000513;-0.0001746;-8.3627e-14;1.4831e-13
129.0;192.9;32.79;185.5;15.77;10.9;4.0;2.94;1.0;0.0;0.0;1.0;1.0;0.0;2.17355;-2.2263272;1.86732;2.32215;1.92887;1.34226;-0.4361809;0.5264;0.81986;0.0034092;-0.00044322;-0.00023133;-5.9137e-14;1.4267e-13
140.0;173.2;29.44;196.8;16.73;11.2;5.0;3.02;3.0;0.0;1.0;0.0;1.0;0.0;-0.1232464;0.50837;0.50611;-0.58295263;0.53174;-0.48043;0.93183;0.62811;0.90357;0.0043916;-0.00036411;-0.00033076;-7.2626e-14;1.5399e-13
81.0;153.5;26.1;197.6;16.8;6.3;2.0;1.7;2.0;0.0;1.0;0.0;1.0;0.0;-0.2466658;1.9888;-0.3584939;1.24188;0.1784;-0.40507;-0.9680081;0.3103;0.32845;0.0012845;-0.00062057;0.00034225;1.1545e-13;7.7219e-15
70.0;59.5;10.12;257.2;21.86;11.1;6.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;-1.8645482;0.48687;-1.3286261;-0.24472374;2.87314;0.58074;-0.2628083;-1.057573;-0.56035745;-0.0021916;0.00041026;0.00031452;1.165e-13;-1.6825e-13
79.0;264.3;44.93;202.8;17.24;6.3;3.0;1.7;4.0;0.0;1.0;0.0;0.0;1.0;0.75355;-0.0087293;-1.1395313;1.10192;-3.3600429;-1.2809;-0.4332461;-0.01134116;1.31335;0.0013338;-0.00036153;-9.2598e-05;-3.9663e-14;9.346e-14
85.0;127.9;21.74;271.2;23.05;12.5;5.0;3.38;0.0;0.0;1.0;0.0;1.0;0.0;-0.6956556;0.0024615;-1.2204494;-1.34657962;2.08504;0.94136;-0.4629655;-0.58125617;-0.17100177;-0.0041833;0.0003745;-0.00030015;-1.8121e-13;4.1695e-14
91.0;149.0;25.33;245.3;20.85;8.3;3.0;2.24;0.0;0.0;1.0;0.0;1.0;0.0;-0.2329337;1.27578;-1.2071857;0.16834;0.96804;0.99018;-0.9323061;0.05374;-0.24442541;0.0012604;0.00011575;-5.0888e-05;1.5414e-14;-1.2373e-14
149.0;198.9;33.81;274.0;23.29;14.3;9.0;3.86;1.0;0.0;1.0;0.0;0.0;1.0;-0.5038309;-2.5487501;-1.8042706;-1.82494842;-0.5336357;1.04366;1.85516;-0.55570734;0.29094;0.0017434;-5.4364e-05;-0.00023945;-6.542e-14;7.7473e-14
60.0;98.2;16.69;180.5;15.34;9.3;2.0;2.51;2.0;0.0;1.0;0.0;1.0;0.0;-1.5839756;1.23553;0.34272;0.70567;1.269;-0.89921;-1.1862896;0.0197;0.04807;0.0014119;0.00046902;-0.00036618;-8.0898e-14;1.6992e-14
115.0;147.9;25.14;228.4;19.41;9.6;9.0;2.59;3.0;0.0;1.0;0.0;1.0;0.0;-0.1385275;0.86749;-0.5450789;-0.04474798;1.06099;-0.43706;1.71533;-0.92939561;0.87181;0.0026561;0.00062818;-0.00026746;-2.3994e-16;-5.1453e-14
144.0;106.4;18.09;108.1;9.19;10.1;5.0;2.73;1.0;0.0;1.0;0.0;0.0;1.0;-3.1253401;-0.7827052;1.17891;1.508;-1.1137616;0.03193;1.03382;0.67827;-0.8851237;-0.0019534;-0.00018194;0.00010941;-1.1907e-14;1.086e-14
86.0;70.9;12.05;166.7;14.17;11.1;5.0;3.0;3.0;0.0;1.0;0.0;0.0;1.0;-3.2618483;-1.1712731;-0.1784073;1.05427;0.02285;-1.5813;0.44118;-0.26193309;0.00018742;-0.0019137;-1.5122e-05;-0.00026397;-1.5035e-13;9.5459e-14
